formula,images
T _ { \mu \nu } ^ { \phi } = e ^ { - 2 \phi } [ - 2 \nabla _ { \mu } \nabla _ { \nu } \phi + g _ { \mu \nu } \nabla ^ { 2 } \phi ],1498993b98.png
"R _ { \mu \nu \sigma } ^ { \lambda } ( \Gamma ) \equiv \Gamma _ { \mu \nu , \sigma } ^ { \lambda } - \Gamma _ { \mu \sigma , \nu } ^ { \lambda } + \Gamma _ { \alpha \sigma } ^ { \lambda } \Gamma _ { \mu \nu } ^ { \alpha } - \Gamma _ { \alpha \nu } ^ { \lambda } \Gamma _ { \mu \sigma } ^ { \alpha }",48049e665e.png
\log \Delta = - \frac { 8 \pi \mu } { g } + 2 \log 2 - \frac { 1 } { 2 } \log 3 + O ( \frac { g } { \mu } ),62375fd292.png
"e _ { \pm } ( z ) = e ^ { i \gamma q _ { 2 } } e ^ { 2 i \gamma \phi _ { 2 } ^ { \pm } ( z ) } , \nu ( z ) = \frac { 1 } { \gamma } ( \eta \partial _ { z } \phi _ { 1 } ( z ) + i \partial _ { z } \phi _ { 2 } ( z ) ) .",37fbb7a014.png
"E _ { i } ^ { a } + i B _ { i } ^ { a } \rightarrow e ^ { i \phi _ { a } } ( E _ { i } ^ { a } + i B _ { i } ^ { a } ) , a = 0 , 8 , 3 , 1",750a4dc6f6.png
"\delta R = a \cos \Omega \tau + a ^ { 2 } \eta _ { 1 } ( \tau ) , \Omega ^ { 2 } = \Omega _ { S } ^ { 2 } + a \triangle _ { 1 } \Omega ^ { 2 } .",437c3989b8.png
"S = \int d ^ { 3 } x \{ \frac { - 1 } { 2 g ^ { 2 } } T r ( G _ { i j } ) ^ { 2 } - T r [ \hat { A } _ { i } , \psi ] ^ { 2 } - \frac { m ^ { 2 } } { g ^ { 2 } } T r ( \hat { A } _ { i } ) ^ { 2 } \}",14b6058317.png
\Sigma \int _ { x } f _ { x } \overrightarrow { P ( U _ { n } ) } g _ { x } = \Sigma \int _ { x } f _ { x } \overleftarrow { P ( U _ { n } ^ { - 1 } ) } g _ { x } .,279b632007.png
"M \le G ^ { - \frac { 1 } { 2 } } ( \frac { 1 } { 2 } ) ^ { \frac { 1 } { 4 } } ,",6e59d1025b.png
"\{ \tilde { \psi } _ { \alpha } ( \frac { \pi \vec { l } } { L } , t ) , \tilde { \psi } _ { \beta } ^ { \dag } ( \frac { \pi \vec { k } } { L } , t ) \} = \delta _ { \alpha \beta } \delta _ { _ { \vec { l } , \vec { k } } } ^ { ^ { ( 3 ) } }",668fdfed65.png
